clueweb12-0000tw-00-00000	200	an id
clueweb12-0000tw-00-00000	200	another id
clueweb12-0000tw-00-00000	Fri	an id
clueweb12-0000tw-00-00000	Fri	another id
clueweb12-0000tw-00-00000	10 Feb 2012	an id
clueweb12-0000tw-00-00000	10 Feb 2012	another id
clueweb12-0000tw-00-00000	FrontPage/5.0.2.2635	an id
clueweb12-0000tw-00-00000	FrontPage/5.0.2.2635	another id
clueweb12-0000tw-00-00000	19	an id
clueweb12-0000tw-00-00000	19	another id
clueweb12-0000tw-00-00000	UTF-8	an id
clueweb12-0000tw-00-00000	UTF-8	another id
clueweb12-0000tw-00-00000	France	an id
clueweb12-0000tw-00-00000	France	another id
clueweb12-0000tw-00-00000	16:22:52	an id
clueweb12-0000tw-00-00000	16:22:52	another id
clueweb12-0000tw-00-00000	§	an id
clueweb12-0000tw-00-00000	§	another id
clueweb12-0000tw-00-00000	france	an id
clueweb12-0000tw-00-00000	france	another id
clueweb12-0000tw-00-00000	France	an id
clueweb12-0000tw-00-00000	France	another id
clueweb12-0000tw-00-00000	16:22:52	an id
clueweb12-0000tw-00-00000	16:22:52	another id
clueweb12-0000tw-00-00000	February 10th, 2012	an id
clueweb12-0000tw-00-00000	February 10th, 2012	another id
clueweb12-0000tw-00-00000	Tags	an id
clueweb12-0000tw-00-00000	Tags	another id
clueweb12-0000tw-00-00000	2008	an id
clueweb12-0000tw-00-00000	2008	another id
clueweb12-0000tw-00-00000	one	an id
clueweb12-0000tw-00-00000	one	another id
clueweb12-0000tw-00-00000	Tunisia	an id
clueweb12-0000tw-00-00000	Tunisia	another id
clueweb12-0000tw-00-00000	Roy Tanck	an id
clueweb12-0000tw-00-00000	Roy Tanck	another id
clueweb12-0000tw-00-00000	Luke Morton	an id
clueweb12-0000tw-00-00000	Luke Morton	another id
clueweb12-0000tw-00-00000	9	an id
clueweb12-0000tw-00-00000	9	another id
clueweb12-0000tw-00-00000	Ocular	an id
clueweb12-0000tw-00-00000	Ocular	another id
clueweb12-0000tw-00-00000	WordPress	an id
clueweb12-0000tw-00-00000	WordPress	another id
clueweb12-0000tw-00-00001	200	an id
clueweb12-0000tw-00-00001	200	another id
clueweb12-0000tw-00-00001	Fri	an id
clueweb12-0000tw-00-00001	Fri	another id
clueweb12-0000tw-00-00001	10 Feb 2012	an id
clueweb12-0000tw-00-00001	10 Feb 2012	another id
clueweb12-0000tw-00-00001	FrontPage/5.0.2.2635	an id
clueweb12-0000tw-00-00001	FrontPage/5.0.2.2635	another id
clueweb12-0000tw-00-00001	19	an id
clueweb12-0000tw-00-00001	19	another id
clueweb12-0000tw-00-00001	UTF-8	an id
clueweb12-0000tw-00-00001	UTF-8	another id
clueweb12-0000tw-00-00001	Le Canigou	an id
clueweb12-0000tw-00-00001	Le Canigou	another id
clueweb12-0000tw-00-00001	Le Canigou	an id
clueweb12-0000tw-00-00001	Le Canigou	another id
clueweb12-0000tw-00-00001	February 10th, 2012	an id
clueweb12-0000tw-00-00001	February 10th, 2012	another id
clueweb12-0000tw-00-00001	Tags	an id
clueweb12-0000tw-00-00001	Tags	another id
clueweb12-0000tw-00-00001	2008	an id
clueweb12-0000tw-00-00001	2008	another id
clueweb12-0000tw-00-00001	one	an id
clueweb12-0000tw-00-00001	one	another id
clueweb12-0000tw-00-00001	Tunisia	an id
clueweb12-0000tw-00-00001	Tunisia	another id
clueweb12-0000tw-00-00001	Roy Tanck	an id
clueweb12-0000tw-00-00001	Roy Tanck	another id
clueweb12-0000tw-00-00001	Luke Morton	an id
clueweb12-0000tw-00-00001	Luke Morton	another id
clueweb12-0000tw-00-00001	9	an id
clueweb12-0000tw-00-00001	9	another id
clueweb12-0000tw-00-00001	Ocular	an id
clueweb12-0000tw-00-00001	Ocular	another id
clueweb12-0000tw-00-00001	WordPress	an id
clueweb12-0000tw-00-00001	WordPress	another id
clueweb12-0000tw-00-00002	200	an id
clueweb12-0000tw-00-00002	200	another id
clueweb12-0000tw-00-00002	Fri	an id
clueweb12-0000tw-00-00002	Fri	another id
clueweb12-0000tw-00-00002	10 Feb 2012	an id
clueweb12-0000tw-00-00002	10 Feb 2012	another id
clueweb12-0000tw-00-00002	FrontPage/5.0.2.2635	an id
clueweb12-0000tw-00-00002	FrontPage/5.0.2.2635	another id
clueweb12-0000tw-00-00002	19	an id
clueweb12-0000tw-00-00002	19	another id
clueweb12-0000tw-00-00002	UTF-8	an id
clueweb12-0000tw-00-00002	UTF-8	another id
clueweb12-0000tw-00-00002	Le manoir derrière	an id
clueweb12-0000tw-00-00002	Le manoir derrière	another id
clueweb12-0000tw-00-00002	Le manoir derrière	an id
clueweb12-0000tw-00-00002	Le manoir derrière	another id
clueweb12-0000tw-00-00002	February 10th, 2012	an id
clueweb12-0000tw-00-00002	February 10th, 2012	another id
clueweb12-0000tw-00-00002	Tags	an id
clueweb12-0000tw-00-00002	Tags	another id
clueweb12-0000tw-00-00002	2008	an id
clueweb12-0000tw-00-00002	2008	another id
clueweb12-0000tw-00-00002	one	an id
clueweb12-0000tw-00-00002	one	another id
clueweb12-0000tw-00-00002	Tunisia	an id
clueweb12-0000tw-00-00002	Tunisia	another id
clueweb12-0000tw-00-00002	Roy Tanck	an id
clueweb12-0000tw-00-00002	Roy Tanck	another id
clueweb12-0000tw-00-00002	Luke Morton	an id
clueweb12-0000tw-00-00002	Luke Morton	another id
clueweb12-0000tw-00-00002	9	an id
clueweb12-0000tw-00-00002	9	another id
clueweb12-0000tw-00-00002	Ocular	an id
clueweb12-0000tw-00-00002	Ocular	another id
clueweb12-0000tw-00-00002	WordPress	an id
